date,file_name,file_id,scheme,amount,count
46055,400887_30012026.CTF,8525,AMEX,16948,4
46055,400887_31012026.CTF,8535,AMEX,15825,2
46055,400887_01022026.CTF,8541,AMEX,20838,2
46056,400887_02022026.CTF,8547,AMEX,12329,2
46057,400887_03022026.CTF,8589,AMEX,42597.2,5
46058,400887_04022026.CTF,8604,AMEX,13385.5,5
46059,400887_05022026.CTF,8616,AMEX,40894.37,11
46062,400887_07022026.CTF,8640,AMEX,36557.5,10
46062,400887_08022026.CTF,8663,AMEX,4508,1
46063,400887_09022026.CTF,8667,AMEX,3993,1
46064,400887_10022026.CTF,8674,AMEX,48439.51,8
46065,400887_11022026.CTF,8692,AMEX,19722.15,6
46066,400887_12022026.CTF,8709,AMEX,16562.5,6
46069,400887_13022026.CTF,8723,AMEX,35330.2,7
46069,400887_14022026.CTF,8739,AMEX,13891.45,4
46069,400887_15022026.CTF,8749,AMEX,1541,1
46070,400887_16022026.CTF,8753,AMEX,1579.5,1
46071,400887_17022026.CTF,8757,AMEX,20940,6
46072,400887_18022026.CTF,8771,AMEX,18114.75,7
46073,400887_19022026.CTF,8787,AMEX,59149,4
46076,400887_21022026.CTF,8797,AMEX,36196.49,15
46076,400887_22022026.CTF,8830,AMEX,2935,2
46078,400887_24022026.CTF,8836,AMEX,17343.85,4
46078,400887_23022026.CTF,8863,AMEX,4427,2
46080,400887_25022026.CTF,8869,AMEX,27866.62,6
46080,400887_26022026.CTF,8883,AMEX,74656.34,9
